path,method,source,operationId,tags,summary,note
/api/ethikos/discussion-visibility-settings/{id}/,GET,openapi,ethikos_discussion_visibility_settings_retrieve,ethikos,,
/api/ethikos/discussion-visibility-settings/{id}/,PATCH,openapi,ethikos_discussion_visibility_settings_partial_update,ethikos,,
/api/ethikos/discussion-visibility-settings/{id}/,PUT,openapi,ethikos_discussion_visibility_settings_update,ethikos,,
/api/ethikos/stances/,GET,openapi,ethikos_stances_list,ethikos,,
/api/ethikos/stances/,POST,openapi,ethikos_stances_create,ethikos,,
/api/ethikos/stances/{id}/,DELETE,openapi,ethikos_stances_destroy,ethikos,,
/api/ethikos/stances/{id}/,GET,openapi,ethikos_stances_retrieve,ethikos,,
/api/ethikos/stances/{id}/,PATCH,openapi,ethikos_stances_partial_update,ethikos,,
/api/ethikos/stances/{id}/,PUT,openapi,ethikos_stances_update,ethikos,,
/api/ethikos/topics/,GET,openapi,ethikos_topics_list,ethikos,,
/api/ethikos/topics/,POST,openapi,ethikos_topics_create,ethikos,,
/api/ethikos/topics/{id}/,DELETE,openapi,ethikos_topics_destroy,ethikos,,
/api/ethikos/topics/{id}/,GET,openapi,ethikos_topics_retrieve,ethikos,,
/api/ethikos/topics/{id}/,PATCH,openapi,ethikos_topics_partial_update,ethikos,,
/api/ethikos/topics/{id}/,PUT,openapi,ethikos_topics_update,ethikos,,
/api/ethikos/topics/{id}/preview/,GET,openapi,ethikos_topics_preview_retrieve,ethikos,,
/api/keenkonnect/messages/,GET,openapi,keenkonnect_messages_list,keenkonnect,,
/api/keenkonnect/messages/,POST,openapi,keenkonnect_messages_create,keenkonnect,,
/api/keenkonnect/messages/{id}/,DELETE,openapi,keenkonnect_messages_destroy,keenkonnect,,
/api/keenkonnect/messages/{id}/,GET,openapi,keenkonnect_messages_retrieve,keenkonnect,,
/api/keenkonnect/messages/{id}/,PATCH,openapi,keenkonnect_messages_partial_update,keenkonnect,,
/api/keenkonnect/messages/{id}/,PUT,openapi,keenkonnect_messages_update,keenkonnect,,
/api/keenkonnect/projects/,GET,openapi,keenkonnect_projects_list,keenkonnect,,
/api/keenkonnect/projects/,POST,openapi,keenkonnect_projects_create,keenkonnect,,
/api/keenkonnect/projects/{id}/,DELETE,openapi,keenkonnect_projects_destroy,keenkonnect,,
/api/keenkonnect/projects/{id}/,GET,openapi,keenkonnect_projects_retrieve,keenkonnect,,
/api/keenkonnect/projects/{id}/,PATCH,openapi,keenkonnect_projects_partial_update,keenkonnect,,
/api/keenkonnect/projects/{id}/,PUT,openapi,keenkonnect_projects_update,keenkonnect,,
/api/keenkonnect/ratings/,GET,openapi,keenkonnect_ratings_list,keenkonnect,,
/api/keenkonnect/ratings/,POST,openapi,keenkonnect_ratings_create,keenkonnect,,
/api/keenkonnect/ratings/{id}/,DELETE,openapi,keenkonnect_ratings_destroy,keenkonnect,,
/api/keenkonnect/ratings/{id}/,GET,openapi,keenkonnect_ratings_retrieve,keenkonnect,,
/api/keenkonnect/ratings/{id}/,PATCH,openapi,keenkonnect_ratings_partial_update,keenkonnect,,
/api/keenkonnect/ratings/{id}/,PUT,openapi,keenkonnect_ratings_update,keenkonnect,,
/api/keenkonnect/resources/,GET,openapi,keenkonnect_resources_list,keenkonnect,,
/api/keenkonnect/resources/,POST,openapi,keenkonnect_resources_create,keenkonnect,,
/api/keenkonnect/resources/{id}/,DELETE,openapi,keenkonnect_resources_destroy,keenkonnect,,
/api/keenkonnect/resources/{id}/,GET,openapi,keenkonnect_resources_retrieve,keenkonnect,,
